videoid,contentUrl,duration,page_dir,name
1016280532,https://ak.picdn.net/shutterstock/videos/1016280532/preview/stock-footage-cute-gray-kitten-plays-on-carpet-at-home.mp4,PT00H00M13S,055601_055650,Cute gray kitten plays on carpet at home.
1032401924,https://ak.picdn.net/shutterstock/videos/1032401924/preview/stock-footage--th-june-dublin-ireland-buses-inside-busaras-the-central-bus-station-in-dublin-ireland.mp4,PT00H00M11S,048451_048500,"27th june 2019, dublin, ireland. buses inside busaras, the central bus station in dublin, ireland for intercity and regional bus services operated by bus éireann."
1022131720,https://ak.picdn.net/shutterstock/videos/1022131720/preview/stock-footage-portrait-of-formally-dressed-woman-showing-strong-amusement-into-camera-on-black-background.mp4,PT00H00M18S,001851_001900,Portrait of formally-dressed woman showing strong amusement into camera on black background.
1023444685,https://ak.picdn.net/shutterstock/videos/1023444685/preview/stock-footage-white-rabbit-is-the-easter-symbol-rabbits-in-the-easter-basket.mp4,PT00H00M12S,098801_098850,"White rabbit is the easter symbol, rabbits in the easter basket"
31313158,https://ak.picdn.net/shutterstock/videos/31313158/preview/stock-footage-animation-of-walking-abstract-man-on-colorful-background-animation-of-seamless-loop.mp4,PT00H00M13S,014301_014350,Animation of walking abstract man on colorful background. animation of seamless loop.
11857364,https://ak.picdn.net/shutterstock/videos/11857364/preview/stock-footage-four-puzzle-pieces-in-various-colors-on-white.mp4,PT00H00M17S,193151_193200,Four puzzle pieces in various colors on white 
1065907894,https://ak.picdn.net/shutterstock/videos/1065907894/preview/stock-footage-excited-albino-man-isolated-on-black-studio-background-look-at-smartphone-happy-get-good-message.mp4,PT00H00M12S,146751_146800,"Excited albino man isolated on black studio background look at smartphone, happy get good message, win lottery on mobile app online."
1051185190,https://ak.picdn.net/shutterstock/videos/1051185190/preview/stock-footage-the-factory-engineer-inspects-a-building-material-on-shelves-in-a-warehouse-and-notes-on-a-tablet.mp4,PT00H00M21S,149201_149250,The factory engineer inspects a building material on shelves in a warehouse and notes on a tablet. slowly in 4k
1062687892,https://ak.picdn.net/shutterstock/videos/1062687892/preview/stock-footage-aerial-of-rio-negro-village-llancahue-hornopiren-at-austral-route-chile-south-america.mp4,PT00H00M17S,082101_082150,"Aerial of rio negro village, llancahue, hornopiren at austral, route 7, chile, south america."
1019861101,https://ak.picdn.net/shutterstock/videos/1019861101/preview/stock-footage-istanbul-traffic-night-time-lapse.mp4,PT00H00M21S,185051_185100,Istanbul traffic night time lapse
25979636,https://ak.picdn.net/shutterstock/videos/25979636/preview/stock-footage-scenery-of-a-riverbed-in-tokyo.mp4,PT00H00M13S,033401_033450,Scenery of a riverbed in tokyo
18599999,https://ak.picdn.net/shutterstock/videos/18599999/preview/stock-footage-girl-puts-his-hands-to-the-sides-and-on-the-roof-enjoys-life.mp4,PT00H00M19S,003151_003200,Girl puts his hands to the sides and on the roof enjoys life
1031360726,https://ak.picdn.net/shutterstock/videos/1031360726/preview/stock-footage-a-bouquet-of-red-peonies-bloom-isolated-on-black-background-macro-time-lapse.mp4,PT00H00M26S,190101_190150,A bouquet of red peonies bloom. isolated on black background. macro. time lapse
15386587,https://ak.picdn.net/shutterstock/videos/15386587/preview/stock-footage-working-makes-a-hole-in-the-wall.mp4,PT00H00M15S,142851_142900,Working makes a hole in the wall
1027305596,https://ak.picdn.net/shutterstock/videos/1027305596/preview/stock-footage-abstract-colors-background-animation.mp4,PT00H00M09S,192751_192800,Abstract colors background animation
1045429909,https://ak.picdn.net/shutterstock/videos/1045429909/preview/stock-footage-father-carrying-child-walking-on-beach-in-norway-family-travel-vacations-man-and-child-outdoor.mp4,PT00H00M12S,107401_107450,Father carrying child walking on beach in norway family travel vacations man and child outdoor active healthy lifestyle mountains and fjord view
1030181717,https://ak.picdn.net/shutterstock/videos/1030181717/preview/stock-footage-lonely-kayaks-canoe-and-philippines-boat-bangka-on-the-tropical-beach-blue-ocean-on-a-background.mp4,PT00H00M15S,074451_074500,"Lonely kayaks canoe and philippines boat bangka on the tropical beach. blue ocean on a background. palawan, philippines."
1035949802,https://ak.picdn.net/shutterstock/videos/1035949802/preview/stock-footage-people-are-claiming-their-baggages-on-conveyor-belt-and-a-man-taking-his-luggage.mp4,PT00H00M07S,116401_116450,People are claiming their baggages on conveyor belt and a man taking his luggage
1049429467,https://ak.picdn.net/shutterstock/videos/1049429467/preview/stock-footage-strawberry-jam-is-placed-on-a-plate-with-pancakes.mp4,PT00H00M05S,099851_099900,Strawberry jam is placed on a plate with pancakes
15698575,https://ak.picdn.net/shutterstock/videos/15698575/preview/stock-footage-japanese-kendo-fighter-is-preparing-to-fight.mp4,PT00H00M16S,171501_171550,Japanese kendo fighter is preparing to fight.
1352650,https://ak.picdn.net/shutterstock/videos/1352650/preview/stock-footage-very-large-array.mp4,PT00H00M10S,077451_077500,Very large array 
10577576,https://ak.picdn.net/shutterstock/videos/10577576/preview/stock-footage--k-portrait-of-young-professional-female-in-business-meeting-with-colleagues.mp4,PT00H00M30S,130651_130700,4k portrait of young professional female in business meeting with colleagues
1018139308,https://ak.picdn.net/shutterstock/videos/1018139308/preview/stock-footage-silverside-fish-school-underwater-dream-kind-filming.mp4,PT00H00M17S,072101_072150,Silverside fish school underwater dream kind filming
1033796921,https://ak.picdn.net/shutterstock/videos/1033796921/preview/stock-footage--k-mechanic-in-garage-workshop-lifting-his-welding-visor-looking-at-camera-slow-motion.mp4,PT00H00M24S,124101_124150,4k mechanic in garage workshop lifting his welding visor & looking at camera. slow motion.
30425074,https://ak.picdn.net/shutterstock/videos/30425074/preview/stock-footage-dehydration-animated-word-cloud-text-design-animation-kinetic-typography.mp4,PT00H00M20S,050801_050850,"Dehydration animated word cloud, text design animation. kinetic typography."
1040262656,https://ak.picdn.net/shutterstock/videos/1040262656/preview/stock-footage-saint-petersburg-russia-july-bmw-red-car-automobile-tuning-royal-auto-show-exhibition.mp4,PT00H00M06S,132851_132900,"Saint-petersburg, russia - july 28, 2019: bmw red car. automobile tuning. royal auto show exhibition"
32728831,https://ak.picdn.net/shutterstock/videos/32728831/preview/stock-footage-a-river-bed-about-to-ran-dry-in-autumn.mp4,PT00H00M20S,006501_006550,A river bed about to ran dry in autumn.
31557877,https://ak.picdn.net/shutterstock/videos/31557877/preview/stock-footage-obese-woman-getting-on-scales-for-weight-control-during-healthy-diet.mp4,PT00H00M08S,037651_037700,Obese woman getting on scales for weight control during healthy diet.
1037135789,https://ak.picdn.net/shutterstock/videos/1037135789/preview/stock-footage-slow-motion-of-beauty-asian-woman-has-health-skin-and-look-in-mirror.mp4,PT00H00M14S,177201_177250,Slow motion of beauty asian woman has health skin and look in mirror
1030755965,https://ak.picdn.net/shutterstock/videos/1030755965/preview/stock-footage--d-graphic-pattern-that-rotates-clockwise-and-then-anticlockwise-moves-down-from-right-to-left-and.mp4,PT00H00M15S,053001_053050,"2d graphic pattern that rotates clockwise and then anticlockwise, moves down from right to left and then goes to the center on a black background."
4096849,https://ak.picdn.net/shutterstock/videos/4096849/preview/stock-footage-black-business-partners-working-hard-on-a-project.mp4,PT00H00M20S,173101_173150,Black business partners working hard on a project
1035273485,https://ak.picdn.net/shutterstock/videos/1035273485/preview/stock-footage-spirit-level-adjustment-and-use-closeup-red-calibration-tool-for-straight-level-with-white-wall-in.mp4,PT00H00M12S,035151_035200,Spirit level adjustment and use closeup. red calibration tool for straight level with white wall in background.
28274920,https://ak.picdn.net/shutterstock/videos/28274920/preview/stock-footage-business-trip-people-and-work-concept-man-and-woman-with-papers-in-folder-working-at-hotel-room.mp4,PT00H00M11S,073701_073750,"Business trip, people and work concept - man and woman with papers in folder working at hotel room"
6938020,https://ak.picdn.net/shutterstock/videos/6938020/preview/stock-footage-a-young-piano-player-plays-on-a-piano-closeup.mp4,PT00H00M59S,127151_127200,A young piano player plays on a piano closeup
17218570,https://ak.picdn.net/shutterstock/videos/17218570/preview/stock-footage-young-hipster-night-in-the-bar-or-restaurant.mp4,PT00H00M17S,085451_085500,Young hipster night in the bar or restaurant.
1043273059,https://ak.picdn.net/shutterstock/videos/1043273059/preview/stock-footage-lugansk-ukraine-december-military-tracked-vehicle.mp4,PT00H00M16S,085551_085600,"Lugansk, ukraine - december 2, 2019: military tracked vehicle"
1040625647,https://ak.picdn.net/shutterstock/videos/1040625647/preview/stock-footage-woman-enjoying-hot-drink-on-a-sunset-near-ocean.mp4,PT00H00M21S,188401_188450,Woman enjoying hot drink on a sunset near ocean
22725262,https://ak.picdn.net/shutterstock/videos/22725262/preview/stock-footage-university-of-toronto-knox-college-camera-pointing-down-ascending-aerial.mp4,PT00H00M18S,102901_102950,University of toronto knox college camera pointing down ascending aerial
1059145712,https://ak.picdn.net/shutterstock/videos/1059145712/preview/stock-footage-aerial-view-over-sunflower-field-long-close-up-in-a-sunny-summer-morning.mp4,PT00H00M31S,049001_049050,Aerial view over sunflower field. long close up in a sunny summer morning.
949312,https://ak.picdn.net/shutterstock/videos/949312/preview/stock-footage-clouds.mp4,PT00H00M11S,050051_050100,Clouds
17124613,https://ak.picdn.net/shutterstock/videos/17124613/preview/stock-footage-a-young-athlete-climbs-on-the-wall-of-a-canyon-during-the-international-cliff-diving-championship.mp4,PT00H00M20S,140151_140200,"A young athlete climbs on the wall of a canyon during the ""international cliff diving championshipâ?� in valle maggia (switzerland) on 25 july 2015."
1063163062,https://ak.picdn.net/shutterstock/videos/1063163062/preview/stock-footage-parental-support-portrait-of-happy-boy-holding-his-fathers-hand-during-family-walk-in-park-in.mp4,PT00H00M17S,199951_200000,"Parental support, portrait of happy boy holding his fathers hand during family walk in park in autumn afternoon"
1044693001,https://ak.picdn.net/shutterstock/videos/1044693001/preview/stock-footage--d-particles-animation-particles-burst-and-rain-for-celebrations-with-matte.mp4,PT00H00M20S,004151_004200,"3d particles animation, particles burst and rain for celebrations with matte"
1049709613,https://ak.picdn.net/shutterstock/videos/1049709613/preview/stock-footage-coronavirus-stamp-on-the-flag-of-chechen-republic-coronavirus-concept.mp4,PT00H00M19S,097901_097950,Coronavirus stamp on the flag of chechen republic. coronavirus concept
18484354,https://ak.picdn.net/shutterstock/videos/18484354/preview/stock-footage-time-lapse-night-skyline-of-waikiki-beach-honolulu-oahu-hawaii.mp4,PT00H00M16S,074051_074100,"Time lapse - night skyline of waikiki beach , honolulu, oahu, hawaii"
1056778199,https://ak.picdn.net/shutterstock/videos/1056778199/preview/stock-footage-sexy-casual-man-holding-his-phone-being-happily-surprised-by-a-phone-call-that-he-takes-talking.mp4,PT00H00M12S,053551_053600,"Sexy casual man holding his phone, being happily surprised by a phone call that he takes, talking on the phone, then celebrating succes with one fist up on pink background"
1047144592,https://ak.picdn.net/shutterstock/videos/1047144592/preview/stock-footage-saint-petersburg-russia-men-camp-in-an-open-field-and-begin-to-sit-on-a-blanket.mp4,PT00H00M05S,078601_078650,Saint petersburg russia-1967: men camp in an open field and begin to sit on a blanket
1065379366,https://ak.picdn.net/shutterstock/videos/1065379366/preview/stock-footage-october-text-neon-light-colorful-on-brick-wall-texture-d-rendering-illustration-neon-symbol.mp4,PT00H00M08S,007251_007300,October text neon light colorful on brick wall texture . 3d rendering illustration . neon symbol for october . 4k resolution video . neon light text and wall brick texture simple and elegant
6217403,https://ak.picdn.net/shutterstock/videos/6217403/preview/stock-footage-a-attractive-woman-s-car-breaks-down-she-uses-her-cell-phone-to-call-for-help.mp4,PT00H00M40S,171101_171150,A attractive woman’s car breaks down she uses her cell phone to call for help
